thickness,ltt_name,adb,laser_power,material_type,machine_type,feedrate,focal_position,gas_pressure,failure
80,ST080MD0-N2H0-30-2,0.4,6000,S355J2,L95,3.9,-0.1,6.5,1
50,ST050MD4-N2S0-30-2,0.5,6000,S235JR,L26,7,-1.9,16,1
50,ST050MD4-N2S0-30-2,0.5,6000,S235JR,L26,8,-3.8,23.5,1
80,ST080MD0-N2H0-30-2,0.4,12000,Unknown,L26,9,-4.8,8,1
80,ST080MD0-N2H0-30-2,0.4,12000,Unknown,L26,9,-6.8,8,1
80,ST080MD0-N2H0-30-2,0.4,12000,Unknown,L26,8.5,-6.8,6,1
30,ST030MD4-N2S0-30-2,0.5,6000,S235JR,L26,19,-1.6,17,1
150,ST150MD0-N2H0-30-2,0.4,10000,H400,L76,2.55,-10.6,2.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H400,L76,2.55,-9.6,1.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H400,L76,2.55,-12.1,1.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H400,L76,2.55,-10.6,3.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H400,L76,2.55,-9.6,2.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H400,L76,2.55,-12.1,3.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H400,L76,2.55,-9.6,3.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H400,L76,2.55,-10.6,4.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H400,L76,2.55,-9.6,4.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H400,L76,2.55,-12.1,2.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H400,L76,2.55,-10.6,1.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H400,L76,2.55,-12.1,4.5,1
80,ST080MD0-N2H0-30-2,0.4,10000,S235JR,L76,7.8,-4.1,8,1
80,ST080MD0-N2H0-30-2,0.4,10000,S235JR,L76,7.8,-0.3,12,1
80,ST080MD0-N2H0-30-2,0.4,10000,S235JR,L76,7.8,1.9,6,1
80,ST080MD0-N2H0-30-2,0.4,10000,S235JR,L76,7.8,-4.1,12,1
80,ST080MD0-N2H0-30-2,0.4,10000,S235JR,L76,7.2,1.9,8,1
80,ST080MD0-N2H0-30-2,0.4,10000,S235JR,L76,7.8,-3.1,12,1
80,ST080MD0-N2H0-30-2,0.4,10000,S235JR,L76,7.8,-4.1,6,1
150,ST150MD0-N2H0-30-2,0.4,10000,S355J2,L76,2.55,-10.6,2.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,S355J2,L76,2.55,-7.1,4.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,S355J2,L76,2.55,-9.6,1.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,S355J2,L76,2.55,-12.1,1.5,1
